"Ðịa phương","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"     Bình Dương",5073,2754,1715,604,5168,2690,1812,666,5297,2706,1866,725,5712,2649,2270,793,5483,2649,1993,841,5797,2858,2092,847,5986,2996,2114,876,6205,3143,2158,904,6864,3442,2411,1011,6563,3583,2231,749,8340,4417,2854,1069,8798,4724,2960,1114,8741,4397,3172,1172,9965,5295,3464,1206,9947,5388,3370,1189
"     Ðồng Nai",12792,7130,4444,1218,12888,7124,4467,1297,13811,7383,4828,1600,14006,7288,5043,1675,14329,7351,5267,1711,14938,7327,5674,1937,15339,7630,5712,1997,15292,7634,5465,2193,15266,7509,5591,2166,15477,8029,5637,1811,16307,8252,5753,2302,16541,8384,5820,2337,16564,8400,5851,2313,17000,8724,5905,2371,17180,8939,5966,2275
"     Bà Rịa - Vũng Tàu",6441,3017,2224,1200,6340,3079,2284,977,6421,3092,2354,975,6578,3063,2466,1049,7064,3272,2628,1164,7132,3292,2658,1182,7380,3453,2668,1259,7392,3455,2648,1289,7414,3418,2687,1309,7703,3589,2738,1376,7894,3761,2758,1375,7967,3775,2866,1326,7727,3561,2840,1326,7958,3809,2829,1320,8023,3846,2870,1307
"     TP.Hồ Chí Minh",25578,12156,9504,3918,25850,11967,9694,4189,26175,12037,9759,4379,27322,12354,10077,4891,28133,12571,10279,5283,29704,13274,10517,5913,28546,12838,10436,5272,32250,14116,11656,6478,35733,17362,11606,6765,34618,15512,12066,7040,35907,16211,12453,7243,36814,16784,12580,7450,35416,15254,12627,7535,37905,17356,12864,7685,38124,18320,12470,7334
"Ðồng bằng sông Cửu Long",78371,41755,28479,8137,79622,40476,29660,9486,79868,38818,30584,10466,82459,40150,31102,11207,83637,40141,31812,11684,84734,40554,31807,12373,86812,41565,31959,13288,87480,41990,32583,12907,87742,42617,32016,13109,90090,44770,31984,13336,90385,44824,31992,13569,90721,45042,32097,13582,89385,43985,31909,13491,89526,44433,31674,13419,85721,42077,30245,13399
"     Long An",7539,3879,3067,593,7700,3839,3082,779,7528,3609,3058,861,7652,3586,3175,891,7929,3664,3250,1015,8308,3725,3372,1211,8399,3896,3326,1177,8733,4078,3355,1300,9390,4414,3526,1450,9413,4465,3438,1510,9493,4526,3411,1556,9285,4446,3321,1518,9152,4374,3280,1498,9126,4429,3232,1465,8676,4165,3035,1476
"     Tiền Giang",7879,3883,3178,818,8097,3802,3291,1004,7821,3538,3257,1026,8023,3696,3237,1090,8256,3854,3271,1131,8113,3843,3118,1152,8358,3984,3151,1223,8501,4120,3162,1219,8510,4162,3116,1232,8453,4175,3065,1213,8592,4281,3098,1213,8595,4263,3116,1216,8424,4185,3031,1208,8391,4217,3008,1166,8050,4054,2831,1165
"     Bến Tre",6857,3517,2504,836,7079,3428,2781,870,7023,3217,2868,938,7188,3218,2882,1088,6923,3088,2806,1029,6897,3064,2768,1065,6942,3102,2732,1108,6820,3081,2686,1053,7061,3258,2727,1076,6944,3223,2654,1067,6981,3296,2623,1062,6970,3300,2606,1064,6805,3182,2573,1050,6690,3164,2502,1024,6498,3060,2415,1023
"     Trà Vinh",4669,1982,1950,737,4720,1976,1976,768,4698,1955,1910,833,4760,2013,1883,864,4778,1996,1883,899,4653,1988,1894,771,4914,2138,1911,865,4898,2151,1902,845,4848,2134,1873,841,4844,2183,1852,809,4969,2258,1881,830,5118,2355,1920,843,5090,2304,1941,845,5166,2368,1941,857,4976,2265,1852,859
"     Vĩnh Long",5253,2385,2023,845,5147,2131,2003,1013,5384,2170,2075,1139,5617,2225,2127,1265,5761,2303,2205,1253,5804,2353,2175,1276,5817,2361,2133,1323,5654,2303,2121,1230,5860,2400,2151,1309,5785,2436,2076,1273,5784,2455,2093,1236,5796,2482,2092,1222,5778,2471,2064,1243,5723,2457,2018,1248,5478,2363,1906,1209
"     Ðồng Tháp",7210,3807,2555,848,7421,3753,2678,990,6390,2671,2713,1006,7559,3661,2784,1114,7585,3581,2839,1165,7885,3581,2839,1465,8033,3747,2870,1416,8704,3690,3690,1324,8017,3846,2846,1325,8021,3884,2829,1308,8037,3913,2828,1296,7944,3864,2787,1293,7730,3686,2775,1269,7812,3797,2771,1244,7453,3539,2640,1274
"     An Giang",8107,4418,2925,764,8231,4240,3038,953,8462,4197,3248,1017,8977,4333,3486,1158,9066,4250,3621,1195,9398,4364,3707,1327,9850,4533,3867,1450,9941,4619,3813,1509,10230,4866,3882,1482,10600,5009,4037,1554,10751,5188,4012,1551,10592,5124,3929,1539,10324,4977,3885,1462,10482,5091,3872,1519,10417,5106,3786,1525
"     Kiên Giang",7709,4486,2565,658,7917,4454,2729,734,8151,4358,2986,807,8240,4385,2915,940,8526,4411,3097,1018,8757,4598,3074,1085,9077,4869,3101,1107,9006,4901,3068,1037,8717,4622,3028,1067,9313,5230,3012,1071,9307,5260,2995,1052,9390,5329,3005,1056,9278,5213,2980,1085,9356,5297,2998,1061,8993,5051,2905,1037
"     Cần Thơ",4833,2663,1713,457,5382,2827,1938,617,5431,2705,1999,727,5642,2863,2053,726,5851,2946,2122,783,5907,2899,2166,842,6036,2942,2185,909,5930,2900,2140,890,6036,2930,2182,924,6102,2953,2158,991,6237,2981,2240,1016,6416,3042,2264,1110,6403,3001,2301,1101,6399,3005,2306,1088,6266,2946,2234,1086
"     Hậu Giang",3252,1858,1103,291,3312,1823,1149,340,3484,1916,1193,375,3596,1919,1275,402,3506,1854,1229,423,3444,1778,1231,435,3586,1869,1274,443,3388,1732,1229,427,3325,1585,1270,470,3689,1847,1283,559,3520,1849,1165,506,3664,1882,1286,496,3724,1893,1330,501,3764,1911,1349,504,3462,1665,1298,499
"     Sóc Trãng",5083,2687,1719,677,5203,2720,1764,719,5227,2670,1806,751,5259,2659,1781,819,5537,2687,1980,870,5461,2639,1975,847,5714,2709,2071,934,5904,2816,2106,982,5704,2714,2056,934,6521,3527,2168,826,6216,2976,2196,1044,6301,3049,2232,1020,6206,3001,2194,1011,6124,2948,2168,1008,5684,2659,2059,966
"     Bạc Liêu",3585,2244,1133,208,3586,2041,1218,327,4094,2359,1330,405,3734,2097,1243,394,3532,1956,1162,414,3495,1962,1138,395,3562,2001,1165,396,3480,1942,1150,388,3547,1975,1178,394,3513,1915,1199,399,3471,1866,1217,388,3537,1889,1262,386,3492,1844,1257,391,3555,1884,1284,387,3394,1790,1232,372
"     Cà Mau",6395,3946,2044,405,5827,3442,2013,372,6175,3453,2141,581,6212,3495,2261,456,6387,3551,2347,489,6612,3760,2350,502,6524,3414,2173,937,6521,3657,2161,703,6497,3711,2181,605,6892,3923,2213,756,7027,3975,2233,819,7113,4017,2277,819,6979,3854,2298,827,6938,3865,2225,848,6374,3414,2052,908
